Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
gold_filename;nn.c;179;1.33740997314;0-2;Zero bit-flip
gold_filename;nn.c;179;1.77577090263;0-2;Zero bit-flip
gold_filename;nn.c;179;0.689336061478;0-2;Zero bit-flip
gold_filename;nn.c;179;1.89452910423;0-2;Zero bit-flip
gold_filename;nn.c;179;1.0099799633;0-2;Zero bit-flip
gold_filename;nn.c;179;1.74115991592;0-2;Zero bit-flip
gold_filename;nn.c;179;1.21236991882;0-2;Zero bit-flip
gold_filename;nn.c;179;0.643232107162;0-2;Zero bit-flip
gold_filename;nn.c;179;1.2984559536;0-2;Zero bit-flip
gold_filename;nn.c;179;1.5653090477;0-2;Zero bit-flip
gold_filename;nn.c;179;1.92029690742;0-2;Zero bit-flip
gold_filename;nn.c;179;0.881072998047;0-2;Zero bit-flip
gold_filename;nn.c;179;0.831610918045;0-2;Zero bit-flip
gold_filename;nn.c;179;1.74951910973;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;0.290256023407;0-2;Zero bit-flip
fp;nn.c;32;1.29191207886;0-2;Zero bit-flip
filename;nn.c;179;1.22188901901;0-2;Zero bit-flip
flist;nn.c;32;1.11608290672;0-2;Zero bit-flip
rec_sum;nn.c;33;0.72979092598;0-2;Zero bit-flip
fp;nn.c;32;0.946178913116;0-2;Zero bit-flip
flist;nn.c;32;1.97613191605;0-2;Zero bit-flip
_rtld_local;rtld.c;240;0.377109050751;0-2;Zero bit-flip
filename;nn.c;179;1.61749100685;0-2;Zero bit-flip
neighbors;nn.c;34;0.877805948257;0-2;Zero bit-flip
gold_filename;nn.c;179;0.553792953491;0-2;Zero bit-flip
flist;nn.c;32;0.793653011322;0-2;Zero bit-flip
filename;nn.c;179;1.36894798279;0-2;Zero bit-flip
gold_filename;nn.c;179;1.29062509537;0-2;Zero bit-flip
filename;nn.c;179;1.30072188377;0-2;Zero bit-flip
filename;nn.c;28;1.61390304565;0-2;Zero bit-flip
filename;nn.c;179;0.99231004715;0-2;Zero bit-flip
fp;nn.c;32;1.2643198967;0-2;Zero bit-flip
gold_filename;nn.c;179;1.60911011696;0-2;Zero bit-flip
neighbors;nn.c;34;0.840804100037;0-2;Zero bit-flip
_dl_argv;rtld.c;83;0.642486095428;0-2;Zero bit-flip
fp;nn.c;32;1.56554293633;0-2;Zero bit-flip
filename;nn.c;179;0.894521951675;0-2;Zero bit-flip
filename;nn.c;179;0.849893093109;0-2;Zero bit-flip
gold_filename;nn.c;179;1.21702694893;0-2;Zero bit-flip
gold_filename;nn.c;179;0.83741402626;0-2;Zero bit-flip
neighbors;nn.c;34;0.957010984421;0-2;Zero bit-flip
neighbors;nn.c;34;1.86212396622;0-2;Zero bit-flip
filename;nn.c;179;1.68975400925;0-2;Zero bit-flip
gold_filename;nn.c;179;1.42238903046;0-2;Zero bit-flip
gold_filename;nn.c;179;1.08959794044;0-2;Zero bit-flip
filename;nn.c;179;1.46302103996;0-2;Zero bit-flip
filename;nn.c;28;1.07829403877;0-2;Zero bit-flip
gold_filename;nn.c;179;1.890873909;0-2;Zero bit-flip
