5.361e+08 -7.5054e+05
-1.9439e+05 1.7172e+08
-1.173e+05 8.5824e+07
-1.3555e+05 5.7047e+07
-55049 4.2927e+07
-1.1037e+05 3.4637e+07
-81603 2.8507e+07
-1.6732e+05 2.4516e+07
-23243 2.1452e+07
-69006 1.8948e+07
-93275 1.7305e+07
-44835 1.5545e+07
-21397 1.4263e+07
-65127 1.3211e+07
-1.0083e+05 1.2259e+07
-1.8517e+05 1.1589e+07
-6494.8 1.07e+07
-2.2495e+05 1.0007e+07
-70138 9.4857e+06
-36164 9.0729e+06
-27552 8.6414e+06
-30476 8.2448e+06
-30484 7.7864e+06
-37795 7.4714e+06
-18991 7.1043e+06
-56102 6.7581e+06
-60328 6.6309e+06
-27442 6.3521e+06
-46199 6.1058e+06
-99182 5.9499e+06
-83479 5.8072e+06
-31441 5.6333e+06
-30179 5.3157e+06
-1.7578e+05 5.1937e+06
-1.0765e+05 5.029e+06
-45395 4.8546e+06
-50657 4.7181e+06
-42802 4.6653e+06
1577.4 4.5417e+06
10854 4.4525e+06
-57471 4.3067e+06
-50132 4.1789e+06
1945.9 4.1505e+06
29003 4.0034e+06
-47486 3.8693e+06
-59857 3.7887e+06
9854.3 3.7264e+06
7026 3.6767e+06
-53789 3.5493e+06
-65038 3.4287e+06
-5869.9 3.3928e+06
-9198.2 3.3501e+06
-58475 3.3062e+06
-44247 3.2622e+06
-8651.9 3.1463e+06
-17528 3.0855e+06
-42066 3.0748e+06
-35771 3.0041e+06
-47763 2.9729e+06
-61269 2.8926e+06
-47387 2.9102e+06
-36046 2.8856e+06
-45569 2.7831e+06
25727 2.7038e+06
-4254.2 2.6694e+06
-80106 2.6342e+06
-1.0772e+05 2.5805e+06
-1.0205e+05 2.5433e+06
-46748 2.5134e+06
-38897 2.4776e+06
-67527 2.4148e+06
-65266 2.4021e+06
1738.3 2.3696e+06
-12707 2.3155e+06
-46318 2.3363e+06
-50221 2.2976e+06
9990.7 2.2582e+06
3010.6 2.2291e+06
-50850 2.2206e+06
