Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
neighbors;nn.c;86;0.5342259407043457;0-1;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;0.5403640270233154;0-1;Random bit-flip
gold_filename;nn.c;88;0.8372533321380615;0-1;Random bit-flip
any_debug;rtld.c;2322;0.7230806350708008;0-1;Random bit-flip
flist;nn.c;83;0.7062337398529053;0-1;Random bit-flip
neighbors_dup;nn.c;94;1.4009819030761719;0-1;Random bit-flip
flist;nn.c;83;0.3985767364501953;0-1;Random bit-flip
fp;nn.c;83;0.8691985607147217;0-1;Random bit-flip
z_dup;nn.c;157;0.8497686386108398;0-1;Random bit-flip
neighbors_dup;nn.c;94;1.1676936149597168;0-1;Random bit-flip
fp;nn.c;83;1.2606232166290283;0-1;Random bit-flip
neighbors;nn.c;86;0.9999794960021973;0-1;Random bit-flip
neighbors;nn.c;86;0.7268686294555664;0-1;Random bit-flip
gold_filename;nn.c;88;0.8005127906799316;0-1;Random bit-flip
k;nn.c;84;1.0061187744140625;0-1;Random bit-flip
z;nn.c;153;0.701744794845581;0-1;Random bit-flip
flist;nn.c;83;1.6389267444610596;0-1;Random bit-flip
neighbors;nn.c;86;1.217667818069458;0-1;Random bit-flip
z;nn.c;153;1.589622974395752;0-1;Random bit-flip
version_info;rtld.c;827;0.5419363975524902;0-1;Random bit-flip
gold_filename;nn.c;88;0.59157395362854;0-1;Random bit-flip
k;nn.c;84;1.152052402496338;0-1;Random bit-flip
k_dup;nn.c;93;1.099524974822998;0-1;Random bit-flip
z_dup;nn.c;157;0.868156909942627;0-1;Random bit-flip
gold_filename;nn.c;88;0.7500882148742676;0-1;Random bit-flip
preload_file;rtld.c;1630;0.45805788040161133;0-1;Random bit-flip
fp;nn.c;83;1.0975141525268555;0-1;Random bit-flip
rec_count;nn.c;84;0.6413824558258057;0-1;Random bit-flip
fp;nn.c;83;1.3630003929138184;0-1;Random bit-flip
gold_filename;nn.c;88;0.9105901718139648;0-1;Random bit-flip
neighbors;nn.c;86;1.2831504344940186;0-1;Random bit-flip
k;nn.c;84;0.39593982696533203;0-1;Random bit-flip
gold_filename;nn.c;88;0.86940598487854;0-1;Random bit-flip
z_dup;nn.c;157;0.6678357124328613;0-1;Random bit-flip
z_dup;nn.c;157;1.2612133026123047;0-1;Random bit-flip
neighbors;nn.c;86;0.7447006702423096;0-1;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;0.589794397354126;0-1;Random bit-flip
k;nn.c;84;1.1901023387908936;0-1;Random bit-flip
k_dup;nn.c;93;1.026855230331421;0-1;Random bit-flip
z_dup;nn.c;157;1.2805407047271729;0-1;Random bit-flip
fp;nn.c;83;1.2286584377288818;0-1;Random bit-flip
neighbors;nn.c;86;1.1246814727783203;0-1;Random bit-flip
flist;nn.c;83;1.1567091941833496;0-1;Random bit-flip
z;nn.c;153;1.0565357208251953;0-1;Random bit-flip
z;nn.c;153;1.1647202968597412;0-1;Random bit-flip
fp;nn.c;83;0.6811404228210449;0-1;Random bit-flip
flist;nn.c;83;0.8478031158447266;0-1;Random bit-flip
k_dup;nn.c;93;0.7872200012207031;0-1;Random bit-flip
flist;nn.c;83;0.7140419483184814;0-1;Random bit-flip
rec_count;nn.c;84;0.7374820709228516;0-1;Random bit-flip
tmp_lat;nn.c;87;0.7803487777709961;0-1;Random bit-flip
neighbors;nn.c;86;0.5457677841186523;0-1;Random bit-flip
flist;nn.c;83;0.7176682949066162;0-1;Random bit-flip
target_long;nn.c;87;1.1443896293640137;0-1;Random bit-flip
z;nn.c;153;0.7349817752838135;0-1;Random bit-flip
neighbors;nn.c;86;0.5323545932769775;0-1;Random bit-flip
k;nn.c;84;0.9052877426147461;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;0.6258296966552734;0-1;Random bit-flip
gold_filename;nn.c;88;1.0931434631347656;0-1;Random bit-flip
neighbors;nn.c;86;0.7330977916717529;0-1;Random bit-flip
fp;nn.c;83;0.3352773189544678;0-1;Random bit-flip
neighbors;nn.c;86;0.6762125492095947;0-1;Random bit-flip
fp;nn.c;83;1.0846953392028809;0-1;Random bit-flip
_dl_rtld_libname2;rtld.c;302;0.33978915214538574;0-1;Random bit-flip
rec_count;nn.c;84;0.8285722732543945;0-1;Random bit-flip
flist;nn.c;83;0.8357641696929932;0-1;Random bit-flip
neighbors;nn.c;86;0.785994291305542;0-1;Random bit-flip
rec_count;nn.c;84;0.6532039642333984;0-1;Random bit-flip
k_dup;nn.c;93;0.7589125633239746;0-1;Random bit-flip
rec_count;nn.c;84;0.9299187660217285;0-1;Random bit-flip
gold_filename;nn.c;88;0.5746994018554688;0-1;Random bit-flip
k_dup;nn.c;93;1.1019601821899414;0-1;Random bit-flip
k_dup;nn.c;93;0.8267345428466797;0-1;Random bit-flip
fp;nn.c;83;0.5633957386016846;0-1;Random bit-flip
z;nn.c;153;1.2329156398773193;0-1;Random bit-flip
rec_count;nn.c;84;0.9255540370941162;0-1;Random bit-flip
gold_filename;nn.c;88;0.5213804244995117;0-1;Random bit-flip
file_size;rtld.c;874;0.35413599014282227;0-1;Random bit-flip
k_dup;nn.c;93;0.6128575801849365;0-1;Random bit-flip
target_long_dup;nn.c;92;1.390148639678955;0-1;Random bit-flip
done;nn.c;84;0.944047212600708;0-1;Random bit-flip
start_time;rtld.c;308;0.3093290328979492;0-1;Random bit-flip
k_dup;nn.c;93;0.7793300151824951;0-1;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.0997707843780518;0-1;Random bit-flip
