-2.0269e+07 -8.8659e+07
3.854e+07 2.3187e+07
8.4399e+06 1.5038e+07
-4.0408e+06 1.8312e+07
-1.9994e+06 -1.8788e+06
3.9256e+06 1.0825e+07
-1.0794e+06 4.7406e+06
-3.9555e+06 4.2824e+06
-4.6422e+06 -8.9156e+06
4.8923e+06 9.7522e+06
1.1472e+05 4.1485e+06
-1.5179e+06 -95781
-2.164e+05 2.9754e+05
-1.2983e+06 2.5527e+06
-1.0611e+06 1.1933e+06
-1.0732e+06 2.1278e+06
-5.5565e+06 -1.2903e+07
5.2996e+06 8.4895e+06
5.9035e+05 3.967e+06
-8.3285e+05 1.465e+06
-1.0687e+05 -2.8906e+05
-4.1045e+05 2.1122e+06
-4.6424e+05 1.3437e+05
-4.7268e+05 -9.2548e+05
6.1749e+05 -1.7898e+06
-1.0206e+06 2.589e+06
-7.2475e+05 7.2892e+05
-2.6426e+05 -4.3458e+05
-1.5095e+05 1.1183e+05
-6.1612e+05 8.217e+05
-3.0177e+05 5.8196e+05
-41216 1.0764e+06
-5.5258e+06 -1.531e+07
5.3411e+06 7.4857e+06
8.3509e+05 3.7577e+06
-5.6293e+05 2.5593e+06
-1.1013e+05 -5.0859e+05
-8335.6 2.4196e+06
-2.8613e+05 4.7869e+05
-3.5016e+05 -3.3685e+05
1.9423e+05 -2.2055e+06
-3.2858e+05 2.5529e+06
-3.3086e+05 6.2253e+05
6732.4 -5.0719e+05
-71524 30762
-2.6456e+05 -1.5241e+05
-1.428e+05 -2.0287e+05
-2.4535e+05 -77921
1.3691e+06 -3.0409e+06
-9.4812e+05 2.685e+06
-6.369e+05 7.7812e+05
-2.9219e+05 -46537
6014.5 -29234
-4.4261e+05 2.7349e+05
-1.1482e+05 -91149
57234 -3.4159e+05
4.3108e+05 -3.4951e+05
-6.1457e+05 6.928e+05
-3.0301e+05 2.2e+05
-91685 -1.4286e+05
-55501 63656
-1.2106e+05 4.2936e+05
-16822 2.8944e+05
1.1441e+05 3.3028e+05
-4.9207e+06 -1.6831e+07
5.1268e+06 6.8266e+06
9.0643e+05 3.56e+06
-4.5633e+05 3.1593e+06
-1.533e+05 -5.3166e+05
2.0222e+05 2.4943e+06
-2.1565e+05 7.1611e+05
-3.6229e+05 1.756e+05
-13767 -2.341e+06
-7544.8 2.6004e+06
-2.1933e+05 7.8474e+05
-32144 -3.5199e+05
-44548 35843
-1.9354e+05 1.0704e+05
-1.1056e+05 -51243
-1.6596e+05 1.1632e+05
6.9735e+05 -3.3744e+06
-4.1483e+05 2.6595e+06
-3.7092e+05 8.2636e+05
-1.2001e+05 2907.1
1582.7 -40062
-1.8801e+05 1.8648e+05
-21883 -1.1293e+05
1.1525e+05 -2.9242e+05
1.5895e+05 -11483
-2.3355e+05 30642
-75713 -1.0243e+05
43307 -1.6142e+05
-21617 -22886
-94156 -85976
-73582 -11842
-1.6256e+05 1.5123e+05
2.1025e+06 -3.7434e+06
-1.0119e+06 2.6689e+06
-6.4805e+05 8.3724e+05
-4.3565e+05 2.245e+05
56198 -82787
-4.1151e+05 3.6787e+05
-1.0931e+05 -4727.6
47411 -1.6568e+05
4.1815e+05 -2.981e+05
-4.9037e+05 3.7659e+05
-1.6551e+05 40569
80790 -1.1407e+05
-22557 -11012
-23359 -98950
6406.6 -82885
-49993 -71637
8.4402e+05 -5.9699e+05
-6.3764e+05 6.5958e+05
-3.0329e+05 1.7266e+05
-1.06e+05 -42247
-292.83 -9873.6
-1.6762e+05 92993
-43031 -27945
16894 -1.2173e+05
1.4314e+05 -1.7509e+05
-1.5751e+05 3.5143e+05
-85266 1.4436e+05
-48106 -20256
-11434 40088
16453 1.7257e+05
31645 87854
69458 26876
-3.9286e+06 -1.7766e+07
4.7802e+06 6.3691e+06
8.3503e+05 3.4092e+06
-4.9345e+05 3.4547e+06
-1.841e+05 -5.048e+05
3.03e+05 2.4512e+06
-1.8602e+05 8.4276e+05
-3.9727e+05 5.0047e+05
-1.6987e+05 -2.2546e+06
1.8871e+05 2.4809e+06
-1.6476e+05 8.5166e+05
-70564 -2.1738e+05
-36983 45079
-1.8031e+05 2.9861e+05
-1.1533e+05 75647
-1.6843e+05 2.7355e+05
3.725e+05 -3.3978e+06
-1.1885e+05 2.5135e+06
-2.7355e+05 8.9081e+05
-1.1985e+05 1.4338e+05
881.05 -60457
-1.4772e+05 3.178e+05
-32675 -63102
76196 -2.7749e+05
1.3825e+05 -1.7719e+05
-1.7808e+05 2.5312e+05
-73779 -3431.9
22532 -1.5149e+05
-17388 -6556.6
-73047 6884.3
-52955 38878
-1.1595e+05 1.9836e+05
1.3242e+06 -4.0357e+06
-5.7262e+05 2.5814e+06
-4.4424e+05 8.9362e+05
-2.7314e+05 3.4395e+05
33151 -1.0178e+05
-2.384e+05 4.1444e+05
-59781 14795
56363 -1.522e+05
2.2876e+05 -2.9906e+05
-2.3256e+05 3.3688e+05
-73268 31075
42461 -1.0078e+05
-6627 -13325
22322 -95800
30254 -71370
19086 -80772
3.2458e+05 -80032
-2.6808e+05 1.4546e+05
-1.0272e+05 -32757
-915.87 -97814
-1280.9 676.47
-20609 -83282
7327.3 -46673
43314 -47247
50787 82789
-47942 -75040
-24025 -44714
5666.4 -55481
-12525 -2963.6
-61593 30574
-45438 40963
-69439 87455
2.8317e+06 -4.0587e+06
-1.1444e+06 2.5457e+06
-7.0491e+05 8.3773e+05
-5.847e+05 4.0087e+05
75906 -1.1883e+05
-4.3791e+05 4.5502e+05
-1.4242e+05 57502
-28150 -72009
4.3241e+05 -3.7276e+05
-4.4938e+05 4.2421e+05
-1.6487e+05 79824
50339 -77346
-14079 -4442.9
-29865 -35269
5948.2 -39312
-36971 -23909
7.2821e+05 -4.2353e+05
-5.3687e+05 3.8647e+05
-2.2321e+05 72224
-33528 -35191
4434 -7249.2
-61254 -9348.8
10915 -30177
69326 -38991
50885 40485
-19024 -48043
3431.5 -39697
14104 -34198
-3730.6 -10299
-6025.7 -41904
-14508 -17554
-70581 11383
1.1634e+06 -6.8698e+05
-6.6837e+05 6.1246e+05
-3.1773e+05 1.5782e+05
-1.7731e+05 7572.3
24171 -19626
-1.7295e+05 74773
-41274 -10986
25191 -50659
1.792e+05 -76773
-1.7756e+05 1.1418e+05
-62294 14786
16718 -42724
-10321 -2679.4
-7724.6 -32047
2815 -28047
-22745 -18676
2.9391e+05 -3.1205e+05
-1.8704e+05 3.1915e+05
-1.0598e+05 1.1219e+05
-50384 5536
-3126.2 -5512
-48972 70417
-19883 2924.5
-8078.9 -38294
35258 -91815
-4139.3 1.489e+05
-8618.8 72948
-24165 13648
2096 17700
26767 35823
20901 6660.4
25585 -23476
-2.6472e+06 -1.8226e+07
4.3894e+06 5.9897e+06
6.6629e+05 3.2811e+06
-6.6927e+05 3.5814e+06
-1.9138e+05 -4.7459e+05
2.9408e+05 2.385e+06
-1.9567e+05 9.0035e+05
-4.4143e+05 6.7651e+05
-2.3694e+05 -2.1203e+06
2.8325e+05 2.3222e+06
-1.4359e+05 8.5962e+05
-99175 -1.2231e+05
-36196 51966
-1.8043e+05 4.0816e+05
-1.2523e+05 1.5394e+05
-1.7976e+05 3.5768e+05
1.3326e+05 -3.199e+06
90478 2.2718e+06
-2.1352e+05 8.8024e+05
-1.3185e+05 2.2765e+05
-3418.1 -66842
-1.3241e+05 3.8619e+05
-44245 -24524
49357 -2.4458e+05
1.3857e+05 -2.7951e+05
-1.7003e+05 3.9468e+05
-87506 68312
8010.5 -1.2873e+05
-18950 7038.8
-79470 81537
-53612 77910
-1.0224e+05 2.1947e+05
9.1533e+05 -3.9507e+06
